step,reward
434,5.765139
435,5.774225
436,5.772518
437,5.780383
438,5.780849
439,5.789774
440,5.794413
441,5.798981
442,5.806717
443,5.807087
444,5.811487
445,5.817936
446,5.825274
447,5.832541
448,5.839724
449,5.839992
450,5.846068
451,5.853065
452,5.859922
453,5.865786
454,5.871563
455,5.878135
456,5.881697
457,5.888181
458,5.893609
459,5.893838
460,5.900192
461,5.905466
462,5.911577
463,5.918426
464,5.923443
465,5.92842
466,5.928692
467,5.927115
468,5.933849
469,5.940435
470,5.946018
471,5.950713
472,5.949157
473,5.947644
474,5.946976
475,5.953323
476,5.950484
477,5.955079
478,5.955317
479,5.961531
480,5.965928
481,5.971199
482,5.975531
483,5.981432
484,5.987262
485,5.991364
486,5.995402
487,5.999435
488,6.003425
489,6.008124
490,6.011952
491,6.016486
492,6.020236
493,6.02468
494,6.029834
495,6.029219
496,6.026182
497,6.029807
498,6.033352
499,6.038411
500,6.04184
501,6.043701
502,6.047789
503,6.047174
504,6.044933
505,6.045022
506,6.048348
507,6.052412
508,6.055648
509,6.054235
510,6.058217
511,6.062826
512,6.06668
513,6.070432
514,6.074144
515,6.078525
516,6.07724
517,6.078751
518,6.083064
519,6.08657
520,6.090732
521,6.094117
522,6.092926
523,6.095602
524,6.098249
525,6.100977
526,6.104164
527,6.106674
528,6.106785
529,6.108023
530,6.110644
531,6.113206
532,6.116947
533,6.119326
534,6.11821
535,6.120667
536,6.123704
537,6.127264
538,6.129582
539,6.133043
540,6.130812
541,6.133044
542,6.132464
543,6.134641
544,6.138029
545,6.14068
546,6.143289
547,6.144221
548,6.146213
549,6.145841
550,6.148357
551,6.150487
552,6.149495
553,6.149097
554,6.152253
555,6.154179
556,6.154999
557,6.157395
558,6.160414
559,6.162226
560,6.164194
561,6.167095
562,6.168834
563,6.171013
564,6.173438
565,6.173488
566,6.175137
567,6.176762
568,6.176138
569,6.178895
570,6.181234
571,6.180352
572,6.182638
573,6.184177
574,6.186405
575,6.188064
576,6.187694
577,6.189211
578,6.191738
579,6.190743
580,6.192855
581,6.194301
582,6.193111
583,6.194985
584,6.196386
585,6.197764
586,6.199538
587,6.198534
588,6.200078
589,6.200104
590,6.201422
591,6.202721
592,6.205004
593,6.206483
594,6.208114
595,6.20736
596,6.20859
597,6.207836
598,6.20927
599,6.211446
600,6.211869
601,6.212282
602,6.213462
603,6.212907
604,6.214052
605,6.213815
606,6.215176
607,6.217264
608,6.216697
609,6.217069
610,6.218169
611,6.218194
612,6.218208
613,6.218565
614,6.219633
615,6.219975
616,6.221018
617,6.222049
618,6.223391
619,6.221802
620,6.223107
621,6.223129
622,6.224435
623,6.225393
624,6.227308
625,6.226669
626,6.226682
627,6.2276
628,6.228512
629,6.23037
630,6.231539
631,6.2324
632,6.231447
633,6.232688
634,6.233909
635,6.233926
636,6.234762
637,6.236517
638,6.236534
639,6.237338
640,6.237257
641,6.236308
642,6.237403
643,6.237414
644,6.237416
645,6.236497
646,6.235846
647,6.236635
648,6.238286
649,6.237359
650,6.238531
651,6.239569
652,6.240581
653,6.242183
654,6.242123
655,6.242123
656,6.243117
657,6.244735
658,6.245825
659,6.24495
660,6.245653
661,6.246343
662,6.247263
663,6.248775
664,6.249673
665,6.249207
666,6.250727
667,6.251759
668,6.253233
669,6.253864
670,6.255265
671,6.255881
672,6.256851
673,6.256811
674,6.257416
675,6.256976
676,6.257918
677,6.257929
678,6.258753
679,6.2587
680,6.259517
681,6.260432
682,6.261706
683,6.262497
684,6.262499
685,6.262635
686,6.263513
687,6.264374
688,6.265222
689,6.265229
690,6.266061
691,6.266184
692,6.266103
693,6.266108
694,6.266665
695,6.267812
696,6.268602
697,6.268715
698,6.268283
699,6.269058
700,6.269166
701,6.268727
702,6.269277
703,6.270036
704,6.270042
705,6.271222
706,6.271752
707,6.271331
708,6.270913
709,6.271645
710,6.272384
711,6.271954
712,6.271959
713,6.271866
714,6.273013
715,6.273731
716,6.274434
717,6.275123
718,6.275827
719,6.27652
720,6.276997
721,6.276393
722,6.277465
723,6.277382
724,6.278438
725,6.279388
726,6.279291
727,6.280315
728,6.280391
729,6.281021
730,6.281909
731,6.281371
732,6.281821
733,6.282434
734,6.282433
735,6.282876
736,6.283492
737,6.2834
738,6.284009
739,6.284864
740,6.285797
741,6.286716
742,6.286717
743,6.287278
744,6.288071
745,6.288952
746,6.289515
747,6.290044
748,6.290044
749,6.290428
750,6.29127
751,6.29097
752,6.290972
753,6.291497
754,6.291858
755,6.292373
756,6.293182
757,6.293978
758,6.294468
759,6.294389
760,6.295166
761,6.295845
762,6.295846
763,6.295756
764,6.2961
765,6.296757
766,6.297239
767,6.297709
768,6.298168
769,6.298611
770,6.29861
771,6.299045
772,6.29879
773,6.299417
774,6.29986
775,6.299471
776,6.299471
777,6.300092
778,6.300392
779,6.300688
780,6.301105
781,6.301769
782,6.302054
783,6.302055
784,6.302089
785,6.302735
786,6.302735
787,6.302416
788,6.303057
789,6.302676
790,6.303313
791,6.303314
792,6.303707
793,6.304266
794,6.304296
795,6.304908
796,6.305277
797,6.304939
798,6.305538
799,6.305794
800,6.305568
801,6.305936
802,6.306461
803,6.306489
804,6.306846
805,6.30679
806,6.307035
807,6.307384
808,6.307409
809,6.307433
810,6.30799
811,6.307781
812,6.308122
813,6.308122
814,6.308145
815,6.308633
816,6.30896
817,6.309492
818,6.309952
819,6.310468
820,6.310909
821,6.310929
822,6.310753
823,6.31119
824,6.311191
825,6.311513
826,6.312002
827,6.312483
828,6.312484
829,6.312501
830,6.312308
831,6.31211
832,6.312589
833,6.312866
834,6.312882
835,6.313349
1,3.290176E-05
2,0.0001087189
1,3.290176E-05
2,9.870529E-05
1,2.43187E-05
2,8.630753E-05
1,3.194809E-05
2,9.965897E-05
1,3.290176E-05
2,0.0001173019
