step,reward
439,4.398755
440,4.398889
441,4.39923
442,4.400247
443,4.402255
444,4.405151
445,4.405266
446,4.407206
447,4.407448
448,4.41354
449,4.414327
450,4.416512
451,4.416657
452,4.41741
453,4.418148
454,4.419962
455,4.420695
456,4.425195
457,4.426949
458,4.432999
459,4.439397
460,4.439483
461,4.441167
462,4.441813
463,4.441893
464,4.44366
465,4.448747
466,4.449358
467,4.449525
468,4.449595
469,4.449698
470,4.449766
471,4.45479
472,4.454854
473,4.454916
474,4.459195
475,4.459758
476,4.463957
477,4.464504
478,4.464561
479,4.466042
480,4.47018
481,4.476251
482,4.480571
483,4.484818
484,4.484895
485,4.485127
486,4.489748
487,4.493794
488,4.494361
489,4.494577
490,4.494693
491,4.496051
492,4.496091
493,4.502177
494,4.502286
495,4.506852
496,4.510803
497,4.511
498,4.512293
499,4.518616
500,4.518651
501,4.518685
502,4.522558
503,4.522591
504,4.522771
505,4.522822
506,4.522853
507,4.522902
508,4.524133
509,4.524189
510,4.524216
511,4.524241
512,4.524267
513,4.524292
514,4.525503
515,4.525526
516,4.529324
517,4.529345
518,4.534066
519,4.534251
520,4.534271
521,4.534292
522,4.538043
523,4.538195
524,4.54303
525,4.548021
526,4.549151
527,4.553372
528,4.553407
529,4.55348
530,4.553497
531,4.554585
532,4.554602
533,4.554939
534,4.555072
535,4.556654
536,4.556668
537,4.557709
538,4.558738
539,4.559748
540,4.560791
541,4.560846
542,4.56115
543,4.564681
544,4.568315
545,4.571799
546,4.571811
547,4.573193
548,4.5741
549,4.574112
550,4.574134
551,4.577536
552,4.580906
553,4.581775
554,4.582028
555,4.582038
556,4.582889
557,4.588788
558,4.588797
559,4.592087
560,4.592903
561,4.592912
562,4.59293
563,4.592937
564,4.592945
565,4.593787
566,4.593794
567,4.593801
568,4.593838
569,4.594665
570,4.594685
571,4.597906
572,4.597912
573,4.598689
574,4.598904
575,4.598909
576,4.599123
577,4.599129
578,4.604964
579,4.605039
580,4.605044
581,4.605049
582,4.605251
583,4.605983
584,4.605995
585,4.606715
586,4.611714
587,4.614829
588,4.614895
589,4.6149
590,4.614904
591,4.614908
592,4.614974
593,4.614977
594,4.614981
595,4.615046
596,4.620902
597,4.620927
598,4.621609
599,4.62167
600,4.62173
601,4.622399
602,4.622571
603,4.625616
604,4.625619
605,4.625622
606,4.62563
607,4.625797
608,4.625799
609,4.625808
610,4.628809
611,4.632092
612,4.6321
613,4.632719
614,4.635946
615,4.636542
616,4.637128
617,4.637727
618,4.637733
619,4.637877
620,4.637878
621,4.640764
622,4.646488
623,4.649302
624,4.652087
625,4.652621
626,4.652622
627,4.655373
628,4.661056
629,4.661182
630,4.661312
631,4.661314
632,4.661315
633,4.661316
634,4.661324
635,4.662079
636,4.66258
637,4.663073
638,4.66876
639,4.668797
640,4.669269
641,4.66927
642,4.669271
643,4.669735
644,4.670192
645,4.670642
646,4.670654
647,4.670655
648,4.670656
649,4.670688
650,4.673306
651,4.673306
652,4.673306
653,4.673423
654,4.673527
655,4.673959
656,4.67396
657,4.673989
658,4.674017
659,4.674045
660,4.6779
661,4.680439
662,4.680466
663,4.682973
664,4.683003
665,4.683003
666,4.683017
667,4.683416
668,4.68344
669,4.683443
670,4.685958
671,4.688406
672,4.693949
673,4.693981
674,4.693984
675,4.694006
676,4.694008
677,4.694383
678,4.696782
679,4.699145
680,4.699145
681,4.704665
682,4.705017
683,4.705017
684,4.705364
685,4.705708
686,4.705709
687,4.705781
688,4.705781
689,4.706115
690,4.706115
691,4.706115
692,4.706444
693,4.706446
694,4.706516
695,4.706838
696,4.70684
697,4.706937
698,4.71245
699,4.712452
700,4.717483
701,4.719884
702,4.719885
703,4.719945
704,4.720245
705,4.720541
706,4.720541
707,4.72086
708,4.720875
709,4.723083
710,4.72339
711,4.723391
712,4.723673
713,4.723672
714,4.729162
