0,1,2,3,4,5,6,7,8
0.000160,0.000165,0.000177,0.001893,0.009284,0.001092,0.000184,0.000168,0.000157
0.000157,0.000162,0.000179,0.001613,0.016092,0.000959,0.000184,0.000162,0.000157
0.000157,0.000159,0.000165,0.001172,0.025746,0.000826,0.000170,0.000157,0.000157
0.000157,0.000157,0.000162,0.000903,0.046912,0.000718,0.000159,0.000157,0.000157
0.000157,0.000157,0.000157,0.000663,0.104404,0.000624,0.000157,0.000157,0.000157
0.000157,0.000157,0.000159,0.000435,0.208150,0.000501,0.000157,0.000157,0.000157
0.000157,0.000157,0.000165,0.000298,0.192147,0.000386,0.000167,0.000157,0.000157
0.000157,0.000157,0.000186,0.000280,0.179157,0.000356,0.000182,0.000157,0.000157
0.000157,0.000163,0.000194,0.000218,0.196029,0.000339,0.000194,0.000170,0.000157
