0,1,2,3,4,5,6,7,8
0.008588,0.013879,0.013202,0.010282,0.007031,0.010385,0.013604,0.013879,0.009119
0.007031,0.010918,0.015339,0.013071,0.009587,0.013469,0.014885,0.010385,0.007031
0.007031,0.007694,0.013202,0.015965,0.015806,0.015186,0.012812,0.007849,0.007031
0.007031,0.007031,0.009397,0.018735,0.029677,0.018181,0.009587,0.007031,0.007031
0.007031,0.007031,0.007031,0.018735,0.054076,0.018000,0.007031,0.007031,0.007031
0.007031,0.007031,0.007694,0.018548,0.036248,0.018181,0.007466,0.007031,0.007031
0.007031,0.007031,0.011593,0.022430,0.015649,0.023113,0.011593,0.007031,0.007031
0.007031,0.007031,0.021767,0.014885,0.007031,0.014885,0.021986,0.007031,0.007031
0.007031,0.013202,0.024542,0.007928,0.007031,0.007849,0.024542,0.012433,0.007031
